# wavelength,       abs_cross_section ,  abs_cross_sectionR,     omega_0        #cgs units
4.07380277804e-05    1.78627937745e-25    4.45932174382e-26    0.199771466112
4.1686938347e-05    1.78627937745e-25    4.04890512023e-26    0.184782802086
4.26579518802e-05    1.78627937745e-25    3.67696327854e-26    0.170705884448
4.3651583224e-05    1.78627937745e-25    3.33980025229e-26    0.157518473828
4.46683592151e-05    1.78627937745e-25    3.03408632562e-26    0.145193268616
4.57088189615e-05    1.78627937745e-25    2.75682034825e-26    0.133698930147
4.67735141287e-05    1.78627937745e-25    2.50529609801e-26    0.12300103317
4.78630092323e-05    1.78627937745e-25    2.27707223588e-26    0.113062928755
4.89778819368e-05    1.78627937745e-25    2.06994545189e-26    0.103846512433
5.01187233627e-05    1.78627937745e-25    1.88192644743e-26    0.0953128951072
5.12861383991e-05    1.78627937745e-25    1.71121844051e-26    0.0874229780647
5.2480746025e-05    1.78627937745e-25    1.55619791698e-26    0.0801379361864
5.3703179637e-05    1.78627937745e-25    1.4153973825e-26    0.0734196155112
5.49540873858e-05    1.78627937745e-25    1.2874898981e-26    0.0672308525612
5.6234132519e-05    1.78627937745e-25    1.17127520668e-26    0.0615357235409
5.75439937337e-05    1.78627937745e-25    1.06566727989e-26    0.0562997317548
5.88843655356e-05    1.78627937745e-25    9.69683133571e-27    0.0514899414614
6.02559586074e-05    1.78627937745e-25    8.82432777277e-27    0.0470750660089
6.16595001861e-05    1.78627937745e-25    8.03110178047e-27    0.0430255175473
6.3095734448e-05    1.78627937745e-25    7.30985131919e-27    0.0393134249685
6.45654229035e-05    1.78627937745e-25    6.65395948376e-27    0.0359126260216
6.60693448008e-05    1.78627937745e-25    6.05742863242e-27    0.0327986388485
6.76082975392e-05    1.78627937745e-25    5.51482104686e-27    0.0299486174914
6.91830970919e-05    1.78627937745e-25    5.02120545155e-27    0.0273412952773
7.07945784384e-05    1.78627937745e-25    4.57210879237e-27    0.0249569193828
7.24435960075e-05    1.78627937745e-25    4.16347273874e-27    0.0227771793419
7.41310241301e-05    1.78627937745e-25    3.79161443026e-27    0.0207851317748
7.58577575029e-05    1.78627937745e-25    3.45319103926e-27    0.0189651231971
7.76247116629e-05    1.78627937745e-25    3.14516776601e-27    0.0173027123962
7.94328234724e-05    1.78627937745e-25    2.86478892305e-27    0.0157845935517
8.12830516164e-05    1.78627937745e-25    2.60955180092e-27    0.0143985210094
8.31763771103e-05    1.78627937745e-25    2.37718303951e-27    0.0131332363925
8.51138038202e-05    4.50201516172e-25    2.16561725741e-27    0.00478730017584
8.70963589956e-05    6.60175778058e-25    1.97297771712e-27    0.00297965932868
8.91250938134e-05    1.43114997709e-24    1.79755882669e-27    0.0012544484579
9.12010839356e-05    9.91901330974e-25    1.63781029835e-27    0.0016484607705
9.33254300797e-05    1.48695047306e-24    1.49232280316e-27    0.00100260675607
9.54992586021e-05    2.32759075424e-24    1.35981497648e-27    0.000583874554681
9.77237220956e-05    2.92709126702e-24    1.239121644e-27    0.000423149535583
0.0001    3.236612711e-24    1.1291831507e-27    0.000348756382572
0.000102329299228    2.67935482185e-24    1.0290356871e-27    0.000383913551861
0.000104712854805    2.51406596638e-24    9.37802517237e-28    0.000372883145877
0.000107151930524    3.71271140173e-24    8.54686022662e-28    0.000230152366342
0.000109647819614    7.87204508543e-24    7.78960484691e-28    9.89429561931e-05
0.00011220184543    1.34991738645e-23    7.09965535103e-28    5.25904921879e-05
0.00011481536215    1.95253382834e-23    6.47100212056e-28    3.31404638148e-05
0.000117489755494    1.73027717832e-23    5.89817564221e-28    3.40868773265e-05
0.000120226443462    1.08496470566e-23    5.37619751619e-28    4.95493641496e-05
0.000123026877081    8.24977622604e-24    4.90053596587e-28    5.93985187844e-05
0.000125892541179    9.54297671683e-24    4.467065428e-28    4.68077882519e-05
0.000128824955169    1.79855390143e-23    4.07202984286e-28    2.26400646019e-05
0.000131825673856    3.67159793405e-23    3.71200929999e-28    1.01099625787e-05
0.000134896288259    5.49269511344e-23    3.38388972795e-28    6.16067123885e-06
0.00013803842646    5.85447846806e-23    3.08483534606e-28    5.26916122144e-06
0.000141253754462    4.91554390672e-23    2.81226362284e-28    5.72113195788e-06
0.000144543977075    3.34561619854e-23    2.56382250968e-28    7.66317087952e-06
0.000147910838817    2.10072837342e-23    2.33736974041e-28    1.11263491443e-05
0.000151356124844    1.84285236276e-23    2.13095400669e-28    1.15632125995e-05
0.000154881661891    3.39267311027e-23    1.94279783727e-28    5.7264188115e-06
0.000158489319246    9.00034372384e-23    1.77128202482e-28    1.96801210405e-06
0.000162181009736    1.76604467041e-22    1.61493145908e-28    9.14433258341e-07
0.000165958690744    1.4652224102e-22    1.47240223774e-28    1.00489915242e-06
0.000169824365246    1.60742884065e-22    1.34246993859e-28    8.35165317091e-07
0.000173780082875    1.1058043571e-22    1.22401894733e-28    1.10690248651e-06
0.000177827941004    8.59526767654e-23    1.11603274505e-28    1.29842529397e-06
0.000181970085861    6.9987026381e-23    1.01758506814e-28    1.45396031412e-06
0.000186208713666    4.63294800266e-23    9.27831861777e-29    2.00267735165e-06
0.000190546071796    3.46487982562e-23    8.46003954943e-29    2.44164857622e-06
0.000194984459976    3.20784064705e-23    7.71400391797e-29    2.40472835675e-06
0.000199526231497    4.3744633565e-23    7.03382360143e-29    1.60792575417e-06
0.000204173794467    8.52055492065e-23    6.41367663083e-29    7.52729354226e-07
0.000208929613085    1.89651693599e-22    5.84825684909e-29    3.08368195121e-07
0.00021379620895    3.84301373981e-22    5.33272806751e-29    1.38764201446e-07
